Site;Build;Name;Type;MMSI;IMO;Beam;Length;Flag;Owner;GT;Speed;Draught;
GT;2008;Costa Pacifica;Passengers Ship;;9378498;;;Italy;;114288;;;
Wiki;30 June 2008;Costa Pacifica;;247258100;9378498;36 m;290.2 m;ITA, Genoa;Carnival Corporation & plc;114500;21.5 kn (cruise) 23 kn (maximum);8.2 m;
MT;2008;Costa Pacifica;Passengers ship;247258100;9378498;42 m;289 m;Italy (IT);;114288;;;
SS;2008;Costa Pacifica;Passengers Ship;247258100;9378498;42 m;290 m;Italy;Costa Crociere - Genova, Italy;114288;;8.4 m;
SE;;Costa Pacifica;Passenger Ship;247258100;9378498;42 m;289 m;Italy;Carnival Corp;114500;23.2 kn;8.3 m;
