Site;Build;Name;Type;MMSI;IMO;Beam;Length;Flag;Owner;GT;Speed;Draught;
GT;2007;Costa Serena;Passengers Ship;;9343132;;;Italy;;114147;;;
Wiki;4 August 2006;Costa Serena;;247187600;9343132;35.5 m;289.6 m;ITA, Genoa;Carnival Corporation & plc;114147;20 kn;8.3 m;
MT;2007;Costa Serena;Passengers ship;247187600;9343132;40 m;290 m;Italy (IT);;114147;;;
SS;2007;Costa Serena;Passengers Ship;247187600;9343132;42 m;290 m;Italy;Costa Crociere - Genova, Italy;114147;;8.3 m;
SE;;Costa Serena;Passenger Ship;247187600;9343132;42 m;290 m;Italy;Carnival Corp;114500;19.6 kn;8.3 m;
