Site;Build;Name;Type;MMSI;IMO;Beam;Length;Flag;Owner;GT;Speed;Draught;
GT;2012;Costa Fascinosa;Passengers Ship;;9479864;;;Italy;;113216;;;
Wiki;;Costa Fascinosa;;;;;;Italy;Carnival Corporation & plc;;;;
MT;2012;Costa Fascinosa;Passengers ship;247313500;9479864;40 m;289 m;Italy (IT);;113216;;;
SS;;Costa Fascinosa(No page found);;;;;;;;;;;
SE;;Costa Fascinosa;Passenger Ship;247313500;9479864;40 m;289 m;Italy;;;;8.3 m;
