Site;Build;Name;Type;MMSI;IMO;Beam;Length;Flag;Owner;GT;Speed;Draught;
GT;2004;Costa Magica;Passengers Ship;;9239795;;;Italy;;102587;;;
Wiki;1 December 2003;Costa Magica;;247113300;9239795;34 m;271 m;ITA, Genoa;Carnival Corporation & plc;102587;20 kn;8.2 m;
MT;2004;Costa Magica;Passengers ship;247113300;9239795;44 m;270 m;Italy (IT);;102587;;;
SS;;Costa Magica(No page found);;;;;;;;;;;
SE;;Costa Magica;Passenger Ship;247113300;9239795;44 m;270 m;Italy;Carnival Corp;102587;19.9 kn;8.3 m;
